symbol,name,sector
ABBV,AbbVie Inc,HC
AAPL,Apple Inc,IT
ABT,Abbott Laboratories,HC
ACN,Accenture Plc,IT
ADI,"Analog Devices, Inc.",IT
ADBE,Adobe Inc,IT
AFL,Aflac Inc,FN
ADP,Automatic Data Processing Inc,IND
ALV,Autoliv Inc,EU
AMAT,"Applied Materials, Inc.",IT
AMD,"Advanced Micro Devices, Inc.",IT
AMGN,Amgen Inc,HC
AMT,American Tower Corp,RE
AMZN,Amazon.com Inc,DISC
AON,Aon PLC,FN
APD,Air Products and Chemicals Inc,MT
AVGO,Broadcom Inc,IT
AVVIY,AVIVA ADR,EU
AXP,American Express Company,FN
AZN,AstraZeneca plc,EU
AZO,Autozone Inc,DISC
BA,Boeing Co,IND
BAC,Bank of America Corp,FN
BBVA,Banco Bilbao Vizcaya Argentaria SA,EU
BDX,Becton Dickinson and Co,HC
BHP,BHP Group Ltd,AP
BKNG,Booking Holdings Inc,DISC
BLK,BlackRock Inc,FN
BMY,Bristol-Myers Squibb Co,HC
BP,BP plc,EU
BRDCY,Bridgestone Corp,AP
BRK-B,Berkshire Hathaway,FN
BSX,Boston Scientific Corporation,HC
C,Citigroup Inc,FN
CAJPY,Canon Inc,AP
CB,Chubb Ltd,FN
CAT,Caterpillar Inc.,IND
CCI,Crown Castle Inc,RE
CDNS,Cadence Design Systems Inc,IT
CI,Cigna Group,HC
CMCSA,Comcast Corp,COMMS
CL,Colgate-Palmolive Company,STAP
CME,CME Group Inc,FN
CMG,"Chipotle Mexican Grill, Inc.",DISC
COP,ConocoPhillips,EG
CRM,Salesforce Inc,IT
COST,Costco Wholesale Corporation,STAP
CSCO,Cisco Systems Inc,IT
CSX,CSX Corp,IND
CVS,CVS Health Corp,HC
CVX,Chevron Corp,EG
DG,Dollar General Corp,STAP
DE,Deere & Co,IND
DHR,Danaher Corp,HC
DHI,DR Horton Inc,IND
DIS,Walt Disney Co,COMMS
DOV,Dover Corp,IND
DTE,DTE Energy Co,EU
DUK,Duke Energy Corp,UT
DXCM,DexCom Inc,HC
ELV,Elevance Health Inc,HC
EMN,Eastman Chemical Co,MT
EMR,Emerson Electric Co,IND
EOG,EOG Resources Inc,EG
EQIX,Equinix Inc,RE
ETN,Eaton Corporation PLC,IND
EW,Edwards Lifesciences Corp,HC
FDX,FedEx Corp,IND
FCX,Freeport-McMoRan Inc,MT
FISV,Fiserv Inc,FN
GD,General Dynamics Corp,IND
GE,General Electric Co,IND
GILD,"Gilead Sciences, Inc.",HC
GIS,General Mills Inc,STAP
GOOG,Alphabet Inc Class C,COMMS
GOOGL,Alphabet Inc Class A,COMMS
GS,Goldman Sachs Group Inc,FN
GSK,GSK plc,EU
HCA,HCA Healthcare Inc,HC
HD,Home Depot Inc,DISC
HMC,Honda Motor Co Ltd,AP
HON,Honeywell International Inc,IND
HUM,Humana Inc,HC
IBM,IBM Common Stock,IT
ICE,Intercontinental Exchange Inc,FN
INTU,Intuit Inc,IT
INTC,Intel Corp,IT
ISRG,"Intuitive Surgical, Inc.",HC
ITUB,Itau Unibanco Holding SA ADR,SA
ITW,Illinois Tool Works Inc.,IND
JNJ,Johnson & Johnson,HC
JPM,JPMorgan Chase & Co,FN
KLAC,KLA Corp,IT
KMB,Kimberly-Clark Corp,STAP
KO,Coca-Cola Co,STAP
LEN,Lennar Corp,IND
LIN,Linde PLC,MT
LMT,Lockheed Martin Corp,IND
LLY,Eli Lilly And Co,HC
LOW,Lowe's Companies Inc,DISC
MA,Mastercard Inc,FN
LRCX,Lam Research Corporation,IT
MBG,DaimlerChrysler CEDEAR,EU
MC,Moelis & Co,EU
MAR,Marriott International Inc,DISC
MCD,McDonald's Corp,DISC
MCO,Moody's Corp,FN
MCK,McKesson Corp,HC
MDLZ,MONDELEZ INTERNATIONAL INC Common Stock,STAP
MDT,Medtronic PLC,HC
META,Meta Platforms Inc,COMMS
MMC,Marsh & McLennan Companies Inc,FN
MMM,3M Co,IND
MO,Altria Group Inc,STAP
MPC,Marathon Petroleum Corp,EG
MRK,Merck & Co Inc,HC
MS,Morgan Stanley,FN
MSBHF,Mitsubishi Corp,AP
MSI,Motorola Solutions Inc,IT
MSFT,Microsoft Corp,IT
MU,Micron Technology Inc,IT
NEE,NextEra Energy Inc,UT
NG,NovaGold Resources Inc,EU
NFLX,Netflix Inc,COMMS
NGLOY,Anglo American plc Unsponsored ADR,EU
NKE,Nike Inc,DISC
NOC,Northrop Grumman Corp,IND
NOK,Nokia Oyj,EU
NSANY,Nissan Motor Co Ltd,AP
NOW,ServiceNow Inc,IT
NTDOY,Nintendo ADR,AP
NSC,Norfolk Southern Corp,IND
NVDA,NVIDIA Corp,IT
OR,Osisko gold royalties Ltd,EU
NVR,NVR Inc,IND
ORCL,Oracle Corp,IT
ORA,"Ormat Technologies, Inc.",EU
ORLY,O'Reilly Automotive Inc,DISC
PFE,Pfizer Inc,HC
PEP,PepsiCo Inc,STAP
PGR,Progressive Corp,FN
PG,Procter & Gamble Co,STAP
PHM,"PulteGroup, Inc.",IND
PM,Philip Morris International Inc.,STAP
PLD,Prologis Inc,RE
PNC,PNC Financial Services Group Inc,FN
PRU,Prudential Financial Inc,EU
PYPL,PayPal Holdings Inc,FN
QCOM,Qualcomm Inc,IT
REGN,Regeneron Pharmaceuticals Inc,HC
ROG,Rogers Corp,EU
ROP,Roper Technologies Inc,IT
RTX,Rtx Corp,IND
SAN,Banco Santander SA,EU
SBUX,Starbucks Corp,DISC
SCHW,Charles Schwab Corporation Common Stock,FN
SHW,Sherwin-Williams Co,MT
SHEL,Shell PLC,EU
SLB,Schlumberger NV,EG
SNPS,Synopsys Inc,IT
SO,Southern Co,UT
SONY,Sony Group Corp,AP
SPGI,S&P Global Inc,FN
SU,Suncor Energy Inc,CN
SVNDY,Seven and I Holdings ADR Representing 0.50 Ord Shs,AP
T,AT&T Inc,COMMS
SYK,Stryker Corp,HC
TEF,Telefonica SA,EU
TEVA,Teva Pharmaceutical Industries Ltd,ME
TGT,Target Corp,STAP
TJX,TJX Companies Inc,DISC
TMO,Thermo Fisher Scientific Inc,HC
TM,Toyota Motor Corp,AP
TMUS,T-Mobile Us Inc,COMMS
TSLA,Tesla Inc,DISC
TXN,Texas Instruments Inc,IT
TTE,TotalEnergies SE,EU
UNP,Union Pacific Corp,IND
UNH,UnitedHealth Group Inc,HC
UPS,"United Parcel Service, Inc.",IND
VALE,Vale SA,SA
V,Visa Inc,FN
VIV,Telefonica Brasil SA,EU
VOD,Vodafone Group Plc,EU
VZ,Verizon Communications Inc.,COMMS
VRTX,Vertex Pharmaceuticals Incorporated,HC
WFC,Wells Fargo & Co,FN
WM,"Waste Management, Inc.",IND
WMT,Walmart Inc,STAP
XOM,Exxon Mobil Corp,EG
YPF,YPF SA,SA
ZTS,Zoetis Inc,HC
BX,Blackstone,FN
PAYX,Paychex,
